year,interest_rate,exchg_rate_index,exchg_gbp_into_usd,exchg_gbp_into_eur,cpi,gdp_deflator_growth,gdp_m,unemployment_rate,gfcf,started_dwellings,completed_dwellings,capital_account_balance,trade_pct_of_gdp,randd_exp_pct_of_gdp,manuf_val_added_pct_of_gdp,urban_pop_pct,exports_total,imports_total,balance_total,goods_imports_total,goods_exports_total,goods_balance_total,goods_balance_eu,goods_balance_non_eu,goods_exports_eu,goods_imports_eu,goods_exports_non_eu,goods_imports_non_eu,services_exports_total,services_imports_total,services_balance_total,pub_sec_net_debt_m,pub_sec_net_debt_pct_of_gdp,pub_sec_deficit_m,pub_sec_receipts_m,pub_sec_expenditure_m,population,life_expectancy,mean_household_income,median_household_income,gini_coefficient,poverty_rate,child_poverty_rate,gdp_deflator_index,gdp_per_capita,gdp_growth_rate
2000,5.964933333333334,100.66514166666667,0.6608583333333333,0.6092083333333334,0.8,1,1940007,5.4,320283,186180,176850,69002.97500341461,52.521730598718,1.60963,13.2766508714043,78.651,500205,472796,27409,340030,313305,-26725,15747,-40898,187042,171295,126392,167290,184093,132359,51734,58520843.686102,29.5,2884254.1231071036,70265571.42389694,67381317.30078983,58886100,77.8491,667.74293,540.05554,0.3525093,0.25889608333456166,0.3240957336193532,0.5695406610809931,32945.07532337852,0.045243807626265266
2001,5.122375,99.06341666666667,0.69475,0.6218166666666667,1.2,1.7,1986393,5.1,329123,192070,174080,12603.093905512813,52.8216135097523,1.59545,12.4763662221292,78.751,511034,500877,10157,363853,319454,-44399,3081,-45159,193853,190772,125785,170944,188803,135597,53206,57922438.42876094,28.7,537098.9745212379,71300881.57714579,70763782.60262455,59113000,78.1208,701.66793,570.29333,0.3483555,0.22702784903083761,0.2911669612682161,0.57922285231937,33603.319066871925,0.023910223004349983
2002,4,100.2247,0.6666583333333334,0.6288833333333333,1.3,2.1,2020341,5.2,333488,194380,181970,-114138.54784083762,51.3796342070387,1.61383,12.1152656577466,79.047,514332,522582,-8250,379928,322615,-57313,-10576,-43187,199363,209939,123503,166690,188812,141099,47713,62345011.24283974,30.1,-4430773.880108842,70398288.99019934,74829062.87030819,59365700,78.237,711.21788,583.31604,0.3435313,0.20784420627564837,0.2601973149456896,0.5913865322180767,34032.12629515023,0.017090273676961205
2003,3.6938416666666667,96.77156666666667,0.6122666666666666,0.69215,1.4,2.4,2085366,5,341453,208510,190500,-10733.515060263955,50.2395230519083,1.58131,11.5623514901449,79.339,524079,532658,-8579,384709,318654,-66055,-21776,-41350,186700,208476,132047,173397,202951,146742,56209,66812002.97511994,31.2,-7661087.6570136305,72544195.41030367,80205283.0673173,59636700,78.3302,715.42084,589.34137,0.3394656,0.19930296741242468,0.2501400215498946,0.6055798089913105,34967.83021193326,0.03218516082186126
2004,4.380916666666667,101.58599166666667,0.546125,0.6786916666666667,1.3,2.7,2133872,4.8,350398,228010,203490,14471.071162066599,50.4517112404991,1.53089,10.9499431816893,79.629,549770,570659,-20889,411923,323289,-88634,-31440,-54847,186559,217999,136902,191749,224334,157469,66865,74574253.38851655,34,-7810037.106167343,76190350.45796023,84000387.56412756,59950400,78.8998,729.65503,597.94751,0.3404947,0.18617346748305472,0.2339815918214234,0.6219304638340759,35593.95767167525,0.023260185502209204
2005,4.648675,100.37776666666667,0.5501916666666666,0.6838416666666667,2.1,2.9,2193421,4.8,377403,224440,205750,-131725.65586461662,52.6807168405482,1.55004,10.5141808859202,79.915,590337,611819,-21482,445660,347772,-97888,-43478,-51184,195139,238617,153035,204219,240236,164439,75797,78675999.67714646,34.9,-7570084.370127185,79528075.59817821,87098159.9683054,60413300,79.1061,739.52855,603.57117,0.3450695,0.1867496946834252,0.23745040375753668,0.639966447285264,36306.92248230108,0.027906547346794933
2006,4.638258333333333,101.24965833333333,0.5434166666666667,0.6818416666666667,2.3,3.1,2241453,5.4,386050,224320,208980,-231431.87119263635,56.9144274808123,1.57626,10.076030645948,80.199,659125,672842,-13717,499788,393325,-106463,-32167,-71066,242681,274848,149890,220956,262992,170290,92702,81690752.17605172,35.7,-6609827.613918307,82024638.49709782,88634466.11101612,60827000,79.3474,753.78417,613.37225,0.3518023,0.18270072138781926,0.22814296108812407,0.6598054071511071,36849.63914051326,0.021898212882980512
2007,5.508708333333334,103.71624166666666,0.4997333333333333,0.6846166666666667,2.3,2,2307148,5.3,407633,234890,223570,-37147.01888757854,52.9643534370859,1.6183,9.67204592405853,80.479,650180,666890,-16710,489384,358604,-130780,-51488,-76512,204834,256322,153661,230173,289945,175204,114741,85393567.01876555,36.1,-6212764.614909736,85307385.93494637,91520150.54985611,61319100,79.5337,769.26479,619.42249,0.358022,0.1809506030656126,0.22262586877398663,0.6730015152941293,37625.274995882195,0.029309113329612533
2008,4.675308333333334,91.13579166666666,0.5455,0.796675,3.6,3.3,2306008,5.7,399172,142060,187320,10212.733169479483,56.6986069277108,1.60901,9.59105170682731,80.757,666854,657982,8872,482284,359495,-122789,-53932,-66028,197040,250972,162589,228617,306119,173454,132665,107866600.05341782,47.6,-12654870.968795296,83941043.0635723,96595914.0323676,61823800,79.6554,776.58568,623.92004,0.356223,0.17426364617485,0.21233753641426856,0.6952105652988355,37299.68070548883,-4.941165456225609e-4
2009,0.6448666666666667,80.63331666666667,0.64135,0.8908916666666666,2.2,2,2200222,7.6,352849,114340,157150,8320.232767181573,55.004384033595,1.66991,9.0719795041587,81.031,613953,610295,3658,443244,328084,-115160,-43101,-69769,180789,223890,147353,217122,285184,165268,119916,135182629.3325467,60.6,-22707466.451476462,77813778.2774636,100521244.72894007,62260500,80.1556,787.07985,626.91437,0.3574156,0.16243822780427053,0.1889313385191949,0.7091147766048123,35338.970936629164,-0.04587408196328894
